,Airline,Mean CO2 per seat per airline (kg/km),Keurmerk
0,TUI fly,0.06201232940412019,A
1,TUI fly,0.06201232940412019,A
2,TUI fly,0.06201232940412019,A
3,TUI fly,0.06201232940412019,A
4,TUI fly,0.06201232940412019,A
5,TUI fly,0.06201232940412019,A
6,TUI fly,0.06201232940412019,A
7,TUI fly,0.06201232940412019,A
8,TUI fly,0.06201232940412019,A
9,TUI fly,0.06201232940412019,A
10,TUI fly,0.06201232940412019,A
11,TUI fly,0.06201232940412019,A
12,TUI fly,0.06201232940412019,A
13,TUI fly,0.06201232940412019,A
14,TUI fly,0.06201232940412019,A
15,TUI fly,0.06201232940412019,A
16,TUI fly,0.06201232940412019,A
17,TUI fly,0.06201232940412019,A
18,TUI fly,0.06201232940412019,A
19,TUI fly,0.06201232940412019,A
20,TUI fly,0.06201232940412019,A
21,TUI fly,0.06201232940412019,A
22,TUI fly,0.06201232940412019,A
23,TUI fly,0.06201232940412019,A
24,TUI fly,0.06201232940412019,A
25,TUI fly,0.06201232940412019,A
26,TUI fly,0.06201232940412019,A
27,TUI fly,0.06201232940412019,A
28,TUI fly,0.06201232940412019,A
29,TUI fly,0.06201232940412019,A
30,TUI fly,0.06201232940412019,A
31,TUI fly,0.06201232940412019,A
32,TUI fly,0.06201232940412019,A
33,TUI fly,0.06201232940412019,A
34,TUI fly,0.06201232940412019,A
35,TUI fly,0.06201232940412019,A
36,TUI fly,0.06201232940412019,A
37,TUI fly,0.06201232940412019,A
38,TUI fly,0.06201232940412019,A
39,TUI fly,0.06201232940412019,A
40,TUI fly,0.06201232940412019,A
41,TUI fly,0.06201232940412019,A
42,TUI fly,0.06201232940412019,A
43,TUI fly,0.06201232940412019,A
44,TUI fly,0.06201232940412019,A
45,TUI fly,0.06201232940412019,A
46,TUI fly,0.06201232940412019,A
47,TUI fly,0.06201232940412019,A
48,TUI fly,0.06201232940412019,A
49,TUI fly,0.06201232940412019,A
50,TUI fly,0.06201232940412019,A
51,TUI fly,0.06201232940412019,A
52,TUI fly,0.06201232940412019,A
53,TUI fly,0.06201232940412019,A
54,TUI fly,0.06201232940412019,A
55,TUI fly,0.06201232940412019,A
56,TUI fly,0.06201232940412019,A
57,TUI fly,0.06201232940412019,A
58,TUI fly,0.06201232940412019,A
59,TUI fly,0.06201232940412019,A
60,TUI fly,0.06201232940412019,A
61,TUI fly,0.06201232940412019,A
62,TUI fly,0.06201232940412019,A
63,TUI fly,0.06201232940412019,A
